Unnamed: 0,Player Name,Salary,Position,Age,Team,GP,MP,FG,FGA,FG%,3P,3PA,3,2P,2PA,2,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Total Minutes
337.0,Thanasis Antetokounmpo,1878720.0,PF,30.0,MIL,37.0,5.6,0.5,1.2,0.435,0.0,0.2,0.0,0.5,1.0,0.526,0.3,0.6,0.5,0.4,0.8,1.2,0.4,0.1,0.1,0.3,1.4,206.0
338.0,Moritz Wagner,1878720.0,C,25.0,ORL,57.0,19.5,3.5,6.9,0.5,0.9,2.9,0.313,2.6,4.1,0.631,2.7,3.2,0.841,1.2,3.3,4.5,1.5,0.6,0.2,1.2,10.5,1109.0
339.0,Keita Bates-Diop,1878720.0,PF,27.0,SAS,67.0,21.7,3.5,6.9,0.508,0.8,2.1,0.394,2.7,4.8,0.557,1.8,2.2,0.793,1.0,2.7,3.7,1.5,0.7,0.3,0.8,9.7,1452.0
340.0,Oshae Brissett,1846738.0,PF,24.0,IND,65.0,16.7,1.9,4.9,0.386,0.7,2.4,0.31,1.2,2.5,0.457,1.6,2.2,0.717,1.0,2.4,3.4,0.7,0.5,0.2,0.5,6.1,1083.0
341.0,Nathan Knight,1836090.0,C,25.0,MIN,38.0,7.7,1.2,2.1,0.568,0.2,0.6,0.364,1.0,1.6,0.644,1.0,1.5,0.684,0.6,0.9,1.5,0.3,0.3,0.2,0.6,3.7,291.0
342.0,Justin Jackson,1836090.0,SF,27.0,BOS,23.0,4.7,0.3,1.2,0.259,0.2,0.9,0.25,0.1,0.3,0.286,0.0,0.1,0.5,0.1,0.7,0.7,0.4,0.2,0.2,0.1,0.9,107.0
343.0,Isaiah Joe,1836090.0,SG,23.0,OKC,73.0,19.1,3.1,7.0,0.441,2.2,5.4,0.409,0.9,1.6,0.553,1.1,1.4,0.82,0.4,2.0,2.4,1.2,0.7,0.1,0.5,9.5,1395.0
344.0,Ryan Arcidiacono,1836090.0,PG,28.0,NYK/POR,20.0,8.6,0.5,1.9,0.243,0.4,1.2,0.348,0.1,0.7,0.071,0.0,0.0,,0.0,0.8,0.8,1.2,0.3,0.0,0.4,1.3,172.0
345.0,Anthony Gill,1836090.0,PF,30.0,WAS,59.0,10.6,1.2,2.2,0.538,0.1,0.5,0.138,1.1,1.7,0.65,0.8,1.1,0.731,0.6,1.1,1.7,0.6,0.1,0.2,0.3,3.3,624.0
346.0,Javonte Green,1815677.0,SF,29.0,CHI,32.0,15.0,1.9,3.4,0.565,0.4,1.1,0.371,1.5,2.3,0.658,0.9,1.4,0.667,0.8,1.9,2.8,0.7,0.8,0.7,0.6,5.2,480.0
347.0,Gabe Vincent,1815677.0,PG,26.0,MIA,68.0,25.9,3.4,8.3,0.402,1.7,5.1,0.334,1.6,3.2,0.512,1.0,1.1,0.872,0.4,1.7,2.1,2.5,0.9,0.1,1.4,9.4,1759.0
348.0,Max Strus,1815677.0,SF,26.0,MIA,80.0,28.4,4.1,9.9,0.41,2.5,7.0,0.35,1.6,2.8,0.559,1.0,1.1,0.876,0.6,2.6,3.2,2.1,0.5,0.2,0.9,11.5,2272.0
349.0,Nick Richards,1782621.0,C,25.0,CHO,65.0,18.7,3.0,4.8,0.629,0.0,0.0,1.0,3.0,4.8,0.628,2.1,2.8,0.749,2.3,4.1,6.4,0.6,0.2,1.1,0.9,8.2,1217.0
350.0,Lamar Stevens,1782621.0,SF,25.0,CLE,62.0,18.1,2.1,4.6,0.448,0.5,1.5,0.316,1.6,3.1,0.513,0.6,0.9,0.702,0.8,2.6,3.3,0.5,0.4,0.3,0.4,5.3,1120.0
351.0,Naji Marshall,1782621.0,SF,25.0,NOP,77.0,23.3,3.2,7.4,0.433,0.9,2.8,0.303,2.4,4.6,0.513,1.8,2.3,0.789,0.6,3.0,3.6,2.5,0.7,0.2,1.3,9.1,1792.0
352.0,Paul Reed,1782621.0,C,23.0,PHI,69.0,10.9,1.8,3.0,0.593,0.0,0.1,0.167,1.8,2.9,0.606,0.6,0.7,0.745,1.6,2.2,3.8,0.4,0.7,0.7,0.7,4.2,755.0
